mileage,make,model,gear,offerType,price,hp,year
2.0,2,10,1,3,13406.062773722628,116.0,2011
92800.0,29,110,1,3,6877.0,122.0,2011
149300.0,24,94,1,3,6900.0,160.0,2011
43769.13214285715,23,136,1,3,6950.0,1.0,2011
43769.13214285715,-1,9,1,3,6950.0,156.0,2011
43769.13214285715,28,43,0,3,6950.0,99.0,2011
91894.0,23,180,1,3,13406.062773722628,131.0,2011
127500.0,21,224,1,3,13406.062773722628,116.0,2011
115.0,17,7,0,3,6980.0,150.0,2011
4.0,9,202,1,3,13406.062773722628,86.0,2011
59580.0,21,137,0,3,13406.062773722628,1.0,2011
84.0,29,110,1,3,13406.062773722628,5.0,2011
427.0,18,88,0,3,13406.062773722628,204.0,2011
43769.13214285715,4,148,1,3,13406.062773722628,141.0,2011
0.0,29,155,1,3,6999.0,60.0,2011
43769.13214285715,23,93,1,3,6999.0,150.0,2011
43769.13214285715,23,118,1,3,6999.0,150.0,2011
85700.0,8,183,1,3,6999.0,135.0,2011
82.0,21,79,1,3,7.0,1.0,2011
4.0,14,154,0,3,7850.0,86.0,2012
81970.0,29,110,1,3,7850.0,5.0,2012
24.0,7,85,1,3,13406.062773722628,5.0,2012
113.0,29,47,1,3,13406.062773722628,5.0,2012
117.0,29,111,1,3,7949.0,5.0,2012
20.0,2,2,1,3,7950.0,143.0,2012
4250.0,21,41,1,3,7950.0,140.0,2012
151250.0,-1,9,1,3,7950.0,163.0,2012
43769.13214285715,2,2,1,3,7980.0,143.0,2012
5.0,21,41,1,3,7980.0,179.0,2012
114164.0,9,99,1,3,13406.062773722628,125.0,2012
12.0,15,146,1,3,13406.062773722628,90.0,2012
43769.13214285715,2,2,1,3,7999.0,143.0,2012
43769.13214285715,15,76,1,3,7999.0,122.0,2012
43769.13214285715,18,45,1,3,13406.062773722628,9.0,2012
51200.0,23,180,1,3,13406.062773722628,131.0,2012
7.0,21,123,1,3,13406.062773722628,160.0,2012
1.0,15,145,1,3,13406.062773722628,98.0,2012
214.0,-1,11,-1,3,8199.0,184.0,2012
73760.0,21,224,1,3,13406.062773722628,140.0,2013
113.0,29,47,1,3,13406.062773722628,160.0,2013
8803.0,11,234,1,3,13406.062773722628,116.0,2013
7400.0,21,35,1,3,13406.062773722628,1.0,2013
86980.0,9,46,1,3,8995.0,120.0,2013
9.0,29,114,0,3,8999.0,5.0,2013
98988.0,9,202,1,3,8999.0,1.0,2013
41124.0,21,35,1,3,8999.0,1.0,2013
170.0,29,200,1,3,8999.0,140.0,2013
240.0,14,147,0,3,9.0,150.0,2013
80500.0,2,0,1,3,9.0,2.0,2013
143316.0,29,200,0,3,9.0,140.0,2013
980.0,24,133,1,3,90.0,122.0,2013
113.0,1,25,1,3,90.0,86.0,2013
94.0,29,114,1,3,9200.0,5.0,2013
68700.0,4,205,1,3,9290.0,140.0,2013
16.0,28,216,1,3,9300.0,126.0,2013
77.0,29,113,0,3,9300.0,122.0,2013
45600.0,9,97,1,3,13406.062773722628,80.0,2014
2.0,21,217,1,3,13406.062773722628,140.0,2014
99756.0,-1,155,1,3,13406.062773722628,5.0,2014
8.0,28,221,0,3,13406.062773722628,143.0,2014
73.0,11,233,1,3,13406.062773722628,125.0,2014
133180.0,29,114,1,3,13406.062773722628,5.0,2014
22700.0,-1,235,1,3,13406.062773722628,60.0,2014
53.0,25,167,1,3,8999.0,5.0,2014
149786.0,2,1,-1,3,8999.0,136.0,2014
57.0,14,67,1,3,9.0,99.0,2014
53286.0,25,96,1,3,90.0,86.0,2014
84721.0,28,221,0,3,9200.0,1.0,2014
1100.0,1,25,1,3,9200.0,122.0,2014
87500.0,24,122,1,3,9290.0,5.0,2014
55.0,25,167,1,3,9300.0,5.0,2014
77.0,29,155,1,3,9300.0,90.0,2014
166.0,29,114,0,3,9400.0,5.0,2014
55.0,9,53,1,3,9450.0,1.0,2014
140.0,29,114,0,3,13406.062773722628,1.0,2015
43769.13214285715,9,99,0,3,9999.0,120.0,2015
240.0,1,27,1,3,9999.0,190.0,2015
28238.0,21,137,1,3,190.0,140.0,2015
114327.0,21,123,0,3,200.0,131.0,2015
352.0,-1,49,1,3,298.0,150.0,2015
80575.0,29,155,1,3,299.0,5.0,2015
79987.0,9,46,0,3,444.0,5.0,2015
166554.0,25,190,1,3,13406.062773722628,170.0,2015
47295.0,9,53,1,3,13406.062773722628,1.0,2015
90.0,21,123,1,3,499.0,170.0,2015
7.0,5,57,1,3,580.0,1.0,2015
60.0,-1,6,1,3,750.0,1.0,2015
43769.13214285715,11,233,1,3,750.0,125.0,2015
24.0,12,162,0,3,900.0,170.0,2015
