mileage,make,model,fuel,gear,offerType,price,hp,year
2,BMW,316,,Manual,Used,,116,2011
92800,Volkswagen,Golf,,Manual,Used,6877,122,2011
149300,SEAT,Exeo,,Manual,Used,6900,160,2011
,Renault,Megane,,Manual,Used,6950,1,2011
,,308,,Manual,Used,6950,156,2011
,Toyota,Auris,Electric/,Automatic,Used,6950,99,2011
91894,Renault,Scenic,,Manual,Used,,131,2011
127500,Opel,Zafira,,Manual,Used,,116,2011
115,Mazda,3,,Automatic,Used,6980,150,2011
4,Ford,Transit,,Manual,Used,,86,2011
59580,Opel,Meriva,,Automatic,Used,,1,2011
84,Volkswagen,Golf,,Manual,Used,,5,2011
427,Mercedes-Benz,E 250,,Automatic,Used,,204,2011
,Chevrolet,Orlando,,Manual,Used,,141,2011
194020,Audi,A4,,Manual,Used,6999,120,2011
0,Volkswagen,Polo,,Manual,Used,6999,60,2011
,Renault,Espace,,Manual,Used,6999,150,2011
,Renault,Grand Espace,,Manual,Used,6999,150,2011
85700,Fiat,Sedici,,Manual,Used,6999,135,2011
82,Opel,Corsa,,Manual,Used,7,1,2011
4,Kia,Picanto,,Automatic,Used,7850,86,2012
81970,Volkswagen,Golf,,Manual,Used,7850,5,2012
24,Dacia,Duster,,Manual,Used,,5,2012
193333,Volkswagen,Cross Touran,,Manual,Used,,5,2012
113,Volkswagen,Beetle,,Manual,Used,,5,2012
117,Volkswagen,Golf Cabriolet,,Manual,Used,7949,5,2012
20,BMW,118,,Manual,Used,7950,143,2012
4250,Opel,Astra,,Manual,Used,7950,140,2012
151250,,308,,Manual,Used,7950,163,2012
,BMW,118,,Manual,Used,7980,143,2012
5,Opel,Astra,,Manual,Used,7980,179,2012
114164,Ford,Focus,,Manual,Used,,125,2012
12,MINI,One D Countryman,,Manual,Used,,90,2012
,BMW,118,,Manual,Used,7999,143,2012
,MINI,Cooper Clubman,,Manual,Used,7999,122,2012
,Mercedes-Benz,B 180,,Manual,Used,,9,2012
51200,Renault,Scenic,,Manual,Used,,131,2012
7,Opel,Insignia,,Manual,Used,,160,2012
1,MINI,One,,Manual,Used,,98,2012
214,,320,,,Used,8199,184,2012
73760,Opel,Zafira,,Manual,Used,,140,2013
113,Volkswagen,Beetle,,Manual,Used,,160,2013
8803,Hyundai,iX35,,Manual,Used,,116,2013
7400,Opel,Adam,,Manual,Used,,1,2013
239211,BMW,520,,Automatic,Used,,184,2013
86980,Ford,B-Max,,Manual,Used,8995,120,2013
9,Volkswagen,Golf Variant,,Automatic,Used,8999,5,2013
